	,S2 - Wins	,S2 - Ties	,S2 - Losses	,Y2 - Wins	,Y2 - Ties	,Y2 - Losses
S2	,0,		0,		0		,10,		0,		0	
Y2	,2,		1,		7		,0,		0,		0	
