	,S2 - Wins	,S2 - Ties	,S2 - Losses	,Y2 - Wins	,Y2 - Ties	,Y2 - Losses
S2	,0,		0,		0		,5,		0,		5	
Y2	,2,		0,		8		,0,		0,		0	
