2
2
	,S2 - Wins	,S2 - Ties	,S2 - Losses	,S4 - Wins	,S4 - Ties	,S4 - Losses	,Y2 - Wins	,Y2 - Ties	,Y2 - Losses	,Y4 - Wins	,Y4 - Ties	,Y4 - Losses
S2	,0,		0,		0		,13,		0,		7		,2,		1,		17		,4,		0,		16	
S4	,8,		2,		10		,0,		0,		0		,1,		0,		19		,2,		1,		17	
Y2	,18,		0,		2		,18,		0,		2		,0,		0,		0		,9,		2,		9	
Y4	,17,		1,		2		,19,		0,		1		,11,		1,		8		,0,		0,		0	
