	,S2 - Wins	,S2 - Ties	,S2 - Losses	,Y2 - Wins	,Y2 - Ties	,Y2 - Losses
S2	,0,		0,		0		,7,		0,		3	
Y2	,5,		0,		5		,0,		0,		0	
