	,S2 - Wins	,S2 - Ties	,S2 - Losses	,Y2 - Wins	,Y2 - Ties	,Y2 - Losses
S2	,0,		0,		0		,8,		0,		2	
Y2	,5,		1,		4		,0,		0,		0	
