	,S2 - Wins	,S2 - Ties	,S2 - Losses	,Y2 - Wins	,Y2 - Ties	,Y2 - Losses
S2	,0,		0,		0		,3,		0,		7	
Y2	,7,		0,		3		,0,		0,		0	
