	,S2 - Wins	,S2 - Ties	,S2 - Losses	,Y2 - Wins	,Y2 - Ties	,Y2 - Losses
S2	,0,		0,		0		,4,		0,		6	
Y2	,4,		0,		6		,0,		0,		0	
